id,nom,reference,image,ean13,categorie,prix_ht,prix_ttc,stock,remisable,declinaisons
5851,VN BLANC TROPEZ,1,,2058462400577,VERRE,5.42,6.50,-297,true,
5852,VN BLANC MAXIME,2,,2080099942366,VERRE,5.42,6.50,34,true,
5853,VN BLANC PORT GRIMAUD,3,,2003279387030,VERRE,5.42,6.50,22,true,
5854,VN BLANC CAVALAIRE,4,,2087516449941,VERRE,5.42,6.50,38,true,
5855,VN BLANC RAMATUELLE,5,,2008585103961,VERRE,5.42,6.50,33,true,
5856,VN BLANC LA CROIX,6,,2090059377305,VERRE,5.42,6.50,21,true,
5857,VN BLANC FREJUS,7,,2020965768829,VERRE,5.42,6.50,10,true,
5858,VN BLANC ISSAMBRE,8,,2054228608874,VERRE,5.42,6.50,13,true,
5859,VN BLANC COGOLIN,9,,2094059480423,VERRE,5.42,6.50,14,true,
5860,VN BLANC LAVANDOU,10,,2059828236588,VERRE,5.42,6.50,8,true,
5861,VN BLANC COCHE,16,,2033782564307,VERRE,5.42,6.50,0,true,
5862,VN BLANC NOEL,13,,2009628437142,VERRE,5.42,6.50,48,true,
5863,VN BLANC 18 UNI,16,,2048511440944,VERRE,5.42,6.50,0,true,
5864,VN BLANC 25 UNI,15,,2089494574288,VERRE,5.42,6.50,7,true,
5865,VN CLEAR TROPEZ,17,,2088909251202,VERRE,5.42,6.50,-5,true,
5866,VN CLEAR MAXIME,18,,2051673778770,VERRE,5.42,6.50,10,true,
5867,VN CLEAR PORT GRIMAUD,19,,2045728349572,VERRE,5.42,6.50,31,true,
5868,VN CLEAR CAVALAIRE,20,,2029766850535,VERRE,5.42,6.50,15,true,
5869,VN CLEAR RAMATUELLE,21,,2065270535650,VERRE,5.42,6.50,18,true,
5870,VN CLEAR LA CROIX,22,,2064462423867,VERRE,5.42,6.50,9,true,
5871,VN CLEAR UNI,24,,2095418302301,VERRE,5.42,6.50,30,true,
5872,VN NOIR NOEL,14,,2063910965911,VERRE,5.42,6.50,47,true,
5873,BK VERRE VILLAGE TROPEZ,40,,2079739543483,VERRE,7.08,8.50,-182,true,
5874,BK VERRE VILLAGE MAXIME,41,,2023419112247,VERRE,7.08,8.50,41,true,
5875,BK VERRE VILLAGE PORT GRIMAUD,42,,2077132666938,VERRE,7.08,8.50,12,true,
5876,BK VERRE VILLAGE CAVALAIRE,43,,2027986373537,VERRE,7.08,8.50,23,true,
5877,BK VERRE UNI,64,,2071742402702,VERRE,7.08,8.50,14,true,
5878,BK VERRE CLEAR TROPEZ,65,,2033835995362,VERRE,7.08,8.50,33,true,
5879,BK VERRE CLEAR UNI,67,,2038672674814,VERRE,7.08,8.50,12,true,
5880,BK VERRE COULEUR NOIR TROPEZ,47,,2073737962260,VERRE,7.08,8.50,26,true,
5881,SUNSET 38 TROPEZ,60,,2080342977312,VERRE,7.08,8.50,83,true,
5882,SUNSET CLEAR 38 TROPEZ,61,,2087733154857,VERRE,7.08,8.50,283,true,
5883,MOJITO TROPEZ,70,,2033273986922,VERRE,5.42,6.50,-15,true,
5884,MOJITO MAXIME,71,,2045398985568,VERRE,5.42,6.50,7,true,
5885,MOJITO PORT GRIMAUD,72,,2057428970017,VERRE,5.42,6.50,5,true,
5886,MOJITO CAVALAIRE,73,,2029280081798,VERRE,5.42,6.50,0,true,
5887,MOJITO RAMATUELLE,74,,2047906394275,VERRE,5.42,6.50,10,true,
5888,MOJITO LA CROIX,75,,2082646996624,VERRE,5.42,6.50,8,true,
5889,MOJITO UNI,77,,2067292126243,VERRE,5.42,6.50,2,true,
5890,MOJITO CLEAR TROPEZ 33 CL,78,,2047402809235,VERRE,5.42,6.50,22,true,
5891,MOJITO CLEAR TROPEZ 45 CL,79,,2002996348966,VERRE,7.08,8.50,29,true,
5892,MOJITO CLEAR TROPEZ 55 CL,79,,2074055790757,VERRE,8.33,10.00,24,true,
5893,FLUTE VILLAGE TROPEZ,90,,2064767511092,VERRE,5.42,6.50,-24,true,
5894,FLUTE VILLAGE MAXIME,91,,2070925189775,VERRE,5.42,6.50,0,true,
5895,FLUTE VILLAGE PORT GRIMAUD,92,,2097990615480,VERRE,5.42,6.50,0,true,
5896,FLUTE VILLAGE CAVALAIRE,93,,2050353298485,VERRE,5.42,6.50,3,true,
