
﻿Liste des attributs	Nom du produit	Identifiant produit	Identifiant déclinaison	ean13 décl.	Prix d'achat HT	 Impact sur prix de vente (HT/TTC suivant PS version) 	 Impact sur prix de vente TTC 	 Prix de vente déclinaison HT avant remises 	 Prix de vente déclinaison TTC avant remises 	Montant de remise
OR	PORTE CLEF GOLF	6724	3125					6,67 €	8,00 €	
BLANC,STRASS PETITE LETTRE,BLANC,STRASS PETITE LETTRE	BRACELET LETTRE	6728	2018	2039740605877				8,33 €	10,00 €	
BLANC,STRASS GRANDE LETTRE,BLANC,STRASS GRANDE LETTRE	BRACELET LETTRE	6728	2013	2004602146904				8,33 €	10,00 €	
NOIR,STRASS GRANDE LETTRE,NOIR,STRASS GRANDE LETTRE	BRACELET LETTRE	6728	2014	2053669535152				8,33 €	10,00 €	
BLEU CIEL,LETTRE METAL,BLEU CIEL,LETTRE METAL	BRACELET LETTRE	6728	2025	2021220421695				8,33 €	10,00 €	
BLEU ROI,LETTRE METAL,BLEU ROI,LETTRE METAL	BRACELET LETTRE	6728	2026	2068922210240				8,33 €	10,00 €	
NOIR,STRASS PETITE LETTRE,NOIR,STRASS PETITE LETTRE	BRACELET LETTRE	6728	2019	2012959845722				8,33 €	10,00 €	
ROSE,LETTRE METAL,ROSE,LETTRE METAL	BRACELET LETTRE	6728	2027	2012173497905				8,33 €	10,00 €	
M	TEE SHIRT PANNEAU MAXIME	6822	2230	2081228026827				12,50 €	15,00 €	
XXS	TEE SHIRT PANNEAU MAXIME	6822	2227	2092199923442				12,50 €	15,00 €	
XS	TEE SHIRT PANNEAU MAXIME	6822	2228	2028727984616				12,50 €	15,00 €	
S	TEE SHIRT PANNEAU MAXIME	6822	2229	2046368734582				12,50 €	15,00 €	
XL	TEE SHIRT PANNEAU MAXIME	6822	2232	2044187786737				12,50 €	15,00 €	
