product_id,variation_id,nom,ean13,reference,impact_prix_ht,impact_prix_ttc,stock
6415,2342,"XXL",2012650266451,,0.00,0.00,-1
6415,2341,"XL",2061852797058,,0.00,0.00,15
6415,2339,"M",2081782847807,,0.00,0.00,0
6416,2348,"L",2077454458242,,0.00,0.00,0
6416,2345,"XS",2070588313814,,0.00,0.00,0
6416,2346,"S",2022673466783,,0.00,0.00,0
6416,2344,"XXS",2025584041568,,0.00,0.00,0
6416,2347,"M",2073533734467,,0.00,0.00,0
6416,2351,"XXXL",2083197318415,,0.00,0.00,0
6416,2350,"XXL",2065530309441,,0.00,0.00,0
6416,2349,"XL",2055279338086,,0.00,0.00,0
6417,2352,"XXS",2042011309725,,0.00,0.00,0
6417,2353,"XS",2070178896864,,0.00,0.00,0
6417,2354,"S",2004678135246,,0.00,0.00,0
6417,2357,"XL",2081861878616,,0.00,0.00,0
6417,2355,"M",2054694160647,,0.00,0.00,-1
6417,2356,"L",2033634856352,,0.00,0.00,4
6417,2359,"XXXL",2072957028855,,0.00,0.00,0
6417,2358,"XXL",2044456613351,,0.00,0.00,0
6418,2360,"XXS",2066403802663,,0.00,0.00,0
6418,2361,"XS",2069057415692,,0.00,0.00,0
6418,2362,"S",2076324821469,,0.00,0.00,-1
6418,2365,"XL",2073990634973,,0.00,0.00,-8
6418,2363,"M",2090878618443,,0.00,0.00,-1
6418,2366,"XXL",2045927264454,,0.00,0.00,0
6418,2364,"L",2015078755262,,0.00,0.00,-7
6418,2367,"XXXL",2020825516409,,0.00,0.00,-4
6419,2370,"S",2145475766919,,0.00,0.00,7
6419,2368,"XXS",,,0.00,0.00,-1
6419,2369,"XS",,,0.00,0.00,0
6419,2371,"M",2153146808653,,0.00,0.00,11
6419,2373,"XL",,,0.00,0.00,5
6419,2372,"L",,,0.00,0.00,4
6419,2375,"XXXL",,,0.00,0.00,7
6419,2374,"XXL",,,0.00,0.00,4
6420,2378,"S",2190379822810,2677S,0.00,0.00,-1
6420,2377,"XS",,2677XS,0.00,0.00,17
6420,2381,"XL",2273244948881,2677XL,0.00,0.00,3
6420,2379,"M",2195788811240,2677M,0.00,0.00,7
6420,2380,"L",2219862681199,2677L,0.00,0.00,8
6420,2382,"XXL",,2677XXL,0.00,0.00,17
6422,2219,"XXS",1651669513180,,0.00,0.00,-3
6422,2220,"XS",1652273217631,,0.00,0.00,4
6422,2221,"S",1684285397919,,0.00,0.00,0
6422,2222,"M",1725967465240,,0.00,0.00,1
6422,2810,"16 ANS",1613608627976,,0.00,0.00,1
6422,2226,"XXXL",2058478937869,,0.00,0.00,7
6422,2225,"XXL",2083061187703,,0.00,0.00,6
6422,2223,"L",1754577622323,,0.00,0.00,-1
6422,2224,"XL",2083054749246,,0.00,0.00,5
6428,1800,"1",2012272192206,9501,0.00,0.00,0
6428,1801,"2",2042419082831,9502,0.00,0.00,0
6428,1802,"3",2024620618559,9503,0.00,0.00,0
6428,1803,"4",2040834604270,9504,0.00,0.00,0
6428,1804,"5",2058504633109,9505,0.00,0.00,0
6429,1805,"1",2079766058851,9511,0.00,0.00,0
6429,1806,"2",2001721308268,9512,0.00,0.00,0
6429,1807,"3",2001794612262,9513,0.00,0.00,0
6429,1808,"4",2064527758286,9514,0.00,0.00,0
6429,1809,"5",2022231002910,9515,0.00,0.00,0
6430,1814,"5",2085617008678,9525,0.00,0.00,0
6430,1813,"4",2053398270805,9524,0.00,0.00,0
6430,1811,"2",2049658150758,9522,0.00,0.00,0
6430,1810,"1",2035664383488,9521,0.00,0.00,0
6430,1812,"3",2034869478234,9523,0.00,0.00,0
6431,1816,"2",2001968861106,9532,0.00,0.00,0
6431,1815,"1",2008006112794,9531,0.00,0.00,0
6431,1818,"4",2042763264693,9534,0.00,0.00,0
6431,1819,"5",2087128846527,9535,0.00,0.00,0
6431,1817,"3",2092390999727,9533,0.00,0.00,0
6432,1821,"2",2079612148965,9542,0.00,0.00,0
6432,1820,"1",2074800782365,9541,0.00,0.00,0
6432,1822,"3",2058440924835,9543,0.00,0.00,0
6432,1823,"4",2039100274194,9544,0.00,0.00,0
6432,1824,"5",2007717732062,9545,0.00,0.00,0
6470,1835,"2 à 3",2093526722639,7003,0.00,0.00,19
6470,1833,"0 à 1",2087692847746,7001,0.00,0.00,22
6470,1834,"1 à 2",2042268440547,7002,0.00,0.00,0
6470,1837,"6 à 7",2012072085036,7005,0.00,0.00,2
6470,1836,"3 à 4",2059802204329,7004,0.00,0.00,2
6470,1838,"9 à 10",2008605042119,7006,0.00,0.00,0
6470,1839,"12 à 14",2049748553476,7007,0.00,0.00,0
6471,1840,"0 à 1",2012884078806,7011,0.00,0.00,1
6471,1841,"1 à 2",2045129312960,7012,0.00,0.00,0
6471,1842,"2 à 3",2059942591310,7013,0.00,0.00,0
6471,1844,"6 à 7",2080345904759,7015,0.00,0.00,0
6471,1843,"3 à 4",2064268295514,7014,0.00,0.00,0
6471,1846,"12 à 14",2059853961493,7017,0.00,0.00,0
6471,1845,"9 à 10",2055180978098,7016,0.00,0.00,0
6472,1849,"2 à 3",2009858702676,7023,0.00,0.00,6
6472,1847,"0 à 1",2016352970098,7021,0.00,0.00,2
6472,1848,"1 à 2",2058006358746,7022,0.00,0.00,0
6472,1850,"3 à 4",2083379620350,7024,0.00,0.00,5
6472,1851,"6 à 7",2010825158143,7025,0.00,0.00,0
6472,1852,"9 à 10",2002091929664,7026,0.00,0.00,0
6472,1853,"12 à 14",2092620515062,7027,0.00,0.00,0
6523,2463,"",,,1.59,1.91,0
6523,2466,"",,,12.51,15.01,0
6523,3026,"",,,45.84,55.01,2
6523,3158,"",,,5.84,7.01,3
6523,3250,"",,,5.84,7.01,3
6523,3159,"",,,2.51,3.01,3
6523,2033,"",,,0.00,0.00,0
6524,2065,"",,,0.00,0.00,0
6572,2996,"",,,0.00,0.00,0
6677,1959,"BLANC",2042947965750,,3.49,4.19,1
6677,1960,"NOIR",2020929319104,,2.09,2.51,0
6677,1961,"OR",2046005727151,,5.29,6.35,0
6677,2934,"ARGENT",,,0.00,0.00,1
6677,1962,"BLEU",2051232508596,,2.09,2.51,0
6677,3040,"ROSE",,,0.00,0.00,1
6677,2935,"GRIS FONCE",,,0.00,0.00,0
6715,2009,"MAUVE",2063231428195,,0.00,0.00,0
6715,2008,"JAUNE",2037602074137,,0.00,0.00,0
6715,2011,"MARRON",2039210676994,,0.00,0.00,0
6715,2010,"ORANGE",2002288691244,,0.00,0.00,0
6715,2012,"ROSE",2002238126659,,0.00,0.00,0
6721,1997,"BEIGE,54,BEIGE,54",2011711531798,,0.00,0.00,2
6721,1994,"BLANC,54,BLANC,54",2023596448610,,0.00,0.00,0
6721,2003,"ROUGE,58,ROUGE,58",2062734033837,,0.00,0.00,0
6721,1998,"ROUGE,54,ROUGE,54",2002607384062,,0.00,0.00,3
6721,1995,"BLEU,54,BLEU,54",2038556364572,,0.00,0.00,0
6721,1999,"BLANC,58,BLANC,58",2055956819143,,0.00,0.00,0
6721,2002,"BEIGE,58,BEIGE,58",2099934522007,,0.00,0.00,0
6721,1996,"ROSE,54,ROSE,54",2031713736458,,0.00,0.00,0
6721,2000,"BLEU,58,BLEU,58",2031173312032,,0.00,0.00,0
6721,2001,"ROSE,58,ROSE,58",2074927458556,,0.00,0.00,0
6724,3124,"ORANGE",,,0.00,0.00,5
6724,3092,"BLEU",,,0.00,0.00,6
6724,3091,"ROUGE",,,0.00,0.00,5
6724,3125,"OR",,,0.00,0.00,2
6728,2018,"BLANC,STRASS PETITE LETTRE,BLANC,STRASS PETITE LETTRE",2039740605877,,0.00,0.00,0
6728,2013,"BLANC,STRASS GRANDE LETTRE,BLANC,STRASS GRANDE LETTRE",2004602146904,,0.00,0.00,-6
